== store 001 (58 nodes, 53 edges)
E README.md -contains-> README.md::pydeps | EXTRACTED
E pyproject.toml -contains-> pyproject.toml#async | EXTRACTED
E pyproject.toml -contains-> pyproject.toml#build-backend | EXTRACTED
E pyproject.toml -contains-> pyproject.toml#build-system | EXTRACTED
E pyproject.toml -contains-> pyproject.toml#commands | EXTRACTED
E pyproject.toml -contains-> pyproject.toml#dependencies | EXTRACTED
E pyproject.toml -contains-> pyproject.toml#dependency-groups | EXTRACTED
E pyproject.toml -contains-> pyproject.toml#description | EXTRACTED
E pyproject.toml -contains-> pyproject.toml#description-2 | EXTRACTED
E pyproject.toml -contains-> pyproject.toml#dev | EXTRACTED
E pyproject.toml -contains-> pyproject.toml#name | EXTRACTED
E pyproject.toml -contains-> pyproject.toml#project | EXTRACTED
E pyproject.toml -contains-> pyproject.toml#project-optional-dependencies | EXTRACTED
E pyproject.toml -contains-> pyproject.toml#requires | EXTRACTED
E pyproject.toml -contains-> pyproject.toml#sphinx | EXTRACTED
E pyproject.toml -contains-> pyproject.toml#tests | EXTRACTED
E pyproject.toml -contains-> pyproject.toml#tool-poetry-group-docs-dependencies | EXTRACTED
E pyproject.toml -contains-> pyproject.toml#tool-tox-env-tests-min | EXTRACTED
E pyproject.toml -contains-> pyproject.toml#version | EXTRACTED
E pyproject.toml -declares-> dep:pypi/asgiref | EXTRACTED
E pyproject.toml -declares-> dep:pypi/blinker | EXTRACTED
E pyproject.toml -declares-> dep:pypi/celery | EXTRACTED
E pyproject.toml -declares-> dep:pypi/flask | EXTRACTED
E pyproject.toml -declares-> dep:pypi/flit-core | EXTRACTED
E pyproject.toml -declares-> dep:pypi/pytest | EXTRACTED
E pyproject.toml -declares-> dep:pypi/ruff | EXTRACTED
E pyproject.toml -declares-> dep:pypi/sphinx | EXTRACTED
E pyproject.toml -declares-> dep:pypi/typing-extensions | EXTRACTED
E pyproject.toml -publishes-> dep:pypi/pydeps | EXTRACTED
E requirements.txt -declares-> dep:pypi/flask | EXTRACTED
E requirements.txt -declares-> dep:pypi/flit-core | EXTRACTED
E requirements.txt -declares-> dep:pypi/gunicorn | EXTRACTED
E rustcrate/Cargo.toml -contains-> rustcrate/Cargo.toml#anyhow | EXTRACTED
E rustcrate/Cargo.toml -contains-> rustcrate/Cargo.toml#criterion | EXTRACTED
E rustcrate/Cargo.toml -contains-> rustcrate/Cargo.toml#dependencies | EXTRACTED
E rustcrate/Cargo.toml -contains-> rustcrate/Cargo.toml#dependencies-tokio | EXTRACTED
E rustcrate/Cargo.toml -contains-> rustcrate/Cargo.toml#dev-dependencies | EXTRACTED
E rustcrate/Cargo.toml -contains-> rustcrate/Cargo.toml#features | EXTRACTED
E rustcrate/Cargo.toml -contains-> rustcrate/Cargo.toml#name | EXTRACTED
E rustcrate/Cargo.toml -contains-> rustcrate/Cargo.toml#package | EXTRACTED
E rustcrate/Cargo.toml -contains-> rustcrate/Cargo.toml#serde | EXTRACTED
E rustcrate/Cargo.toml -contains-> rustcrate/Cargo.toml#version | EXTRACTED
E rustcrate/Cargo.toml -contains-> rustcrate/Cargo.toml#version-2 | EXTRACTED
E rustcrate/Cargo.toml -contains-> rustcrate/Cargo.toml#winapi | EXTRACTED
E rustcrate/Cargo.toml -declares-> dep:crates/anyhow | EXTRACTED
E rustcrate/Cargo.toml -declares-> dep:crates/criterion | EXTRACTED
E rustcrate/Cargo.toml -declares-> dep:crates/serde | EXTRACTED
E rustcrate/Cargo.toml -declares-> dep:crates/tokio | EXTRACTED
E rustcrate/Cargo.toml -declares-> dep:crates/winapi | EXTRACTED
E rustcrate/Cargo.toml -publishes-> dep:crates/rustcrate | EXTRACTED
E svc/app.py -contains-> svc/app.py::configure | EXTRACTED
E svc/app.py -contains-> svc/app.py::create_app | EXTRACTED
E svc/app.py::create_app -calls-> svc/app.py::configure | INFERRED
N AGENTS.md | document | AGENTS.md | L1
N CLAUDE.md | document | CLAUDE.md | L1
N README.md | document | README.md | L1
N README.md::pydeps | section | README.md | L1-L5
N dep:crates/anyhow | dependency | dep://crates/anyhow | 
N dep:crates/criterion | dependency | dep://crates/criterion | 
N dep:crates/rustcrate | dependency | dep://crates/rustcrate | 
N dep:crates/serde | dependency | dep://crates/serde | 
N dep:crates/tokio | dependency | dep://crates/tokio | 
N dep:crates/winapi | dependency | dep://crates/winapi | 
N dep:pypi/asgiref | dependency | dep://pypi/asgiref | 
N dep:pypi/blinker | dependency | dep://pypi/blinker | 
N dep:pypi/celery | dependency | dep://pypi/celery | 
N dep:pypi/flask | dependency | dep://pypi/flask | 
N dep:pypi/flit-core | dependency | dep://pypi/flit-core | 
N dep:pypi/gunicorn | dependency | dep://pypi/gunicorn | 
N dep:pypi/pydeps | dependency | dep://pypi/pydeps | 
N dep:pypi/pytest | dependency | dep://pypi/pytest | 
N dep:pypi/ruff | dependency | dep://pypi/ruff | 
N dep:pypi/sphinx | dependency | dep://pypi/sphinx | 
N dep:pypi/typing-extensions | dependency | dep://pypi/typing-extensions | 
N pyproject.toml | config | pyproject.toml | L1
N pyproject.toml#async | config_key | pyproject.toml | L16
N pyproject.toml#build-backend | config_key | pyproject.toml | L24
N pyproject.toml#build-system | config_key | pyproject.toml | L22
N pyproject.toml#commands | config_key | pyproject.toml | L31
N pyproject.toml#dependencies | config_key | pyproject.toml | L8
N pyproject.toml#dependency-groups | config_key | pyproject.toml | L18
N pyproject.toml#description | config_key | pyproject.toml | L4
N pyproject.toml#description-2 | config_key | pyproject.toml | L30
N pyproject.toml#dev | config_key | pyproject.toml | L19
N pyproject.toml#name | config_key | pyproject.toml | L2
N pyproject.toml#project | config_key | pyproject.toml | L1
N pyproject.toml#project-optional-dependencies | config_key | pyproject.toml | L15
N pyproject.toml#requires | config_key | pyproject.toml | L23
N pyproject.toml#sphinx | config_key | pyproject.toml | L27
N pyproject.toml#tests | config_key | pyproject.toml | L20
N pyproject.toml#tool-poetry-group-docs-dependencies | config_key | pyproject.toml | L26
N pyproject.toml#tool-tox-env-tests-min | config_key | pyproject.toml | L29
N pyproject.toml#version | config_key | pyproject.toml | L3
N requirements-lock.txt | document | requirements-lock.txt | L1
N requirements.txt | document | requirements.txt | L1
N rustcrate/Cargo.toml | config | rustcrate/Cargo.toml | L1
N rustcrate/Cargo.toml#anyhow | config_key | rustcrate/Cargo.toml | L6
N rustcrate/Cargo.toml#criterion | config_key | rustcrate/Cargo.toml | L14
N rustcrate/Cargo.toml#dependencies | config_key | rustcrate/Cargo.toml | L5
N rustcrate/Cargo.toml#dependencies-tokio | config_key | rustcrate/Cargo.toml | L9
N rustcrate/Cargo.toml#dev-dependencies | config_key | rustcrate/Cargo.toml | L13
N rustcrate/Cargo.toml#features | config_key | rustcrate/Cargo.toml | L11
N rustcrate/Cargo.toml#name | config_key | rustcrate/Cargo.toml | L2
N rustcrate/Cargo.toml#package | config_key | rustcrate/Cargo.toml | L1
N rustcrate/Cargo.toml#serde | config_key | rustcrate/Cargo.toml | L7
N rustcrate/Cargo.toml#version | config_key | rustcrate/Cargo.toml | L3
N rustcrate/Cargo.toml#version-2 | config_key | rustcrate/Cargo.toml | L10
N rustcrate/Cargo.toml#winapi | config_key | rustcrate/Cargo.toml | L17
N svc/app.py | file | svc/app.py | 
N svc/app.py::configure | function | svc/app.py | L8-L9
N svc/app.py::create_app | function | svc/app.py | L4-L5
